DATE,XCoord,FLOOD
28/6/2012,732251.1451,No
28/6/2012,732548.1281,No
28/6/2012,723644.0874,No
28/6/2012,724461.5867,No
28/6/2012,725345.2597,No
28/6/2012,730049.5273,No
28/6/2012,731025.1004,No
28/6/2012,732034.6487,No
28/6/2012,735744.3918,No
28/6/2012,735926.1223,No
28/6/2012,737394.0386,No
28/6/2012,737486.4494,No
28/6/2012,737525.6198,No
28/6/2012,738128.9891,No
28/6/2012,738636.7209,No
28/6/2012,740093.0145,No
28/6/2012,740193.8648,No
28/6/2012,740206.2073,No
28/6/2012,740407.2886,No
28/6/2012,740841.355,No
28/6/2012,740908.7407,No
28/6/2012,741621.7024,No
28/6/2012,741810.9967,No
28/6/2012,741906.2895,No
28/6/2012,742439.1037,No
28/6/2012,742911.1828,No
28/6/2012,743787.5264,No
28/6/2012,743926.9962,No
28/6/2012,744040.7937,No
28/6/2012,744347.9159,No
28/6/2012,744461.885,No
28/6/2012,746917.5619,No
28/6/2012,746965.5895,No
28/6/2012,747217.121,No
28/6/2012,747321.3907,No
28/6/2012,747586.8458,No
28/6/2012,747849.8376,No
28/6/2012,747967.3298,No
28/6/2012,748045.7155,No
28/6/2012,748100.2087,No
28/6/2012,748541.4647,No
28/6/2012,748654.6168,No
28/6/2012,748972.6634,No
28/6/2012,749242.2562,No
28/6/2012,750468.5269,No
28/6/2012,750608.1265,No
28/6/2012,751129.8453,No
28/6/2012,751449.6056,No
28/6/2012,751944.4455,No
28/6/2012,751986.7014,No
28/6/2012,752905.035,No
28/6/2012,753152.4347,No
28/6/2012,753675.5915,No
28/6/2012,754651.0536,No
28/6/2012,755375.2213,No
28/6/2012,758587.8635,No
28/6/2012,760795.7708,No
28/6/2012,761976.0694,No
28/6/2012,703461.548,No
28/6/2012,704764.0155,No
28/6/2012,706558.7071,No
28/6/2012,706789.9258,No
28/6/2012,707215.0818,No
28/6/2012,707801.8437,No
28/6/2012,708123.5972,No
28/6/2012,708634.4361,No
28/6/2012,709312.3908,No
28/6/2012,710470.4805,No
28/6/2012,711382.3184,No
28/6/2012,712230.7749,No
28/6/2012,712288.2093,No
28/6/2012,713744.5797,No
28/6/2012,677204.0734,Yes
28/6/2012,678222.1055,Yes
28/6/2012,683018.6407,Yes
28/6/2012,685202.1213,Yes
28/6/2012,685547.9462,Yes
28/6/2012,685615.1546,Yes
28/6/2012,688009.1102,Yes
28/6/2012,695969.7931,Yes
28/6/2012,698123.1821,Yes
28/6/2012,701323.7331,Yes
28/6/2012,701773.3138,Yes
28/6/2012,703723.8983,No
28/6/2012,705611.3031,Yes
28/6/2012,705749.6413,No
28/6/2012,707130.4257,No
28/6/2012,707218.9672,No
28/6/2012,707420.8135,No
28/6/2012,707975.7271,No
28/6/2012,708116.1259,No
28/6/2012,709272.3767,No
28/6/2012,694387.3489,Yes
28/6/2012,688582.2703,No
28/6/2012,688725.86,No
