DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,B_Drainage_water,B-Accumulated_drainage,SIRIKIT,S_Drainage_water,S-Accumulated_drainage,KHWAENOI,K_Drainage_water,K-Accumulated_drainage,PASAK,P_Drainage_water,P-Accumulated_drainage,RAINFALL,FLOOD
28/6/2012,562107.49,1637572.235,Suphanburi,Dan Chang,Clay Loam,4,72,116,44,86.59712,หมู่บ้าน,Village,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,562146.5364,1637913.9,Suphanburi,Dan Chang,Silty Clay Loam,5,52,233,181,95.582386,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,562762.2707,1644799.632,Suphanburi,Dan Chang,Sandy Loam,10,52,230,178,122.997734,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,565078.4551,1641908.269,Suphanburi,Dan Chang,Sandy Loam,10,8,258,250,99.261663,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,565778.3052,1647422.201,Suphanburi,Dan Chang,Sandy Loam,10,54,185,131,85.322336,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,565942.4061,1642830.857,Suphanburi,Dan Chang,Water,0,49,261,212,66.477908,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,566126.0526,1650299.893,Suphanburi,Dan Chang,Sandy Loam,10,50,115,65,72.760834,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,566225.1398,1648669.165,Suphanburi,Dan Chang,Sandy Loam,10,60,272,212,139.466182,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,566663.799,1649524.221,Suphanburi,Dan Chang,Clay Loam,4,57,267,210,132.961994,ไม้ยืนต้น,Perennial crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,567354.842,1643084.844,Suphanburi,Dan Chang,Sandy Loam,10,24,298,274,106.651274,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,567666.3916,1643847.816,Suphanburi,Dan Chang,Clay Loam,4,67,231,164,136.606816,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,567711.5987,1637338.815,Suphanburi,Dan Chang,Sandy Loam,10,29,95,66,55.518235,พื้นที่นา,Paddy field,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,567933.303,1653376.685,Suphanburi,Dan Chang,Sandy Loam,10,50,74,24,60.429535,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,568259.4908,1656434.937,Suphanburi,Dan Chang,Clay Loam,4,59,74,15,65.587828,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,574040.5026,1652880.676,Suphanburi,Dan Chang,Sandy Loam,10,68,89,21,78.595783,พืชไร่,Field crop,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,574640.8721,1650775.333,Suphanburi,Dan Chang,Clay Loam,4,182,226,44,207.630663,ไม้ผล,Orchard,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
28/6/2012,574665.5823,1655517.456,Suphanburi,Dan Chang,Sandy Loam,10,119,165,46,132.003632,ทุ่งหญ้าและไม้ละเมาะ,Rangeland,6195.00,8.00,7108.84,4301.00,28.14,5646.21,246.00,4.32,738.67,112.00,1.75,676.22,0.00,No
