DATE,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,LEVEL
27/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
27/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
27/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
27/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
27/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
27/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
28/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
28/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
28/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
28/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
28/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
28/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
29/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
29/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
29/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
29/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
29/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
29/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
30/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
30/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
30/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
30/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
30/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
30/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
31/1/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
31/1/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
31/1/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
31/1/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
31/1/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
31/1/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
1/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
1/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
1/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
1/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
1/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
1/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
2/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
2/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
2/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
2/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
2/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
2/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
3/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
3/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
3/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
3/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
3/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
3/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
4/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
4/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
4/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
4/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
4/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
4/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
5/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
5/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
5/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
5/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
5/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
5/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
6/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
6/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
6/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
6/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
6/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
6/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
7/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
7/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
7/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
7/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
7/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
7/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
8/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
8/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
8/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
8/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
8/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
8/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
9/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
9/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
9/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
9/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
9/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
9/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
10/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
10/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
10/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
10/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
10/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
10/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
11/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
11/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
11/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
11/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
11/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
11/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
12/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
12/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
12/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
12/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
12/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
12/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
13/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
13/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
13/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
13/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
13/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
13/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
14/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
14/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
14/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
14/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
14/2/2012,648452.8013,1646041.031,Singburi,Muang Singburi,Sandy Clay Loam,
14/2/2012,649841.0161,1647586.155,Singburi,Muang Singburi,Water,
15/2/2012,651172.794,1648968.13,Singburi,Muang Singburi,Sandy Loam,
15/2/2012,651462.4965,1650415.55,Singburi,Muang Singburi,Sandy Clay Loam,
15/2/2012,653629.4038,1654238.831,Singburi,Muang Singburi,Clay,
15/2/2012,651346.4803,1646555.57,Singburi,Muang Singburi,Sandy Loam,
