DATE,FID,XCoord,YCoord,PROVINCE,DISTRICT,TEXTURE,SOIL,MIN,MAX,RANGE,MEAN,LU_DES_TH,LU_DES_EN,BHUMIBOL,SIRIKIT,KHWAENOI,PASAK,B_Drainage_water,S_Drainage_water,K_Drainage_water,P_Drainage_water,B-Accumulated_drainage,S-Accumulated_drainage,K-Accumulated_drainage,P-Accumulated_drainage,RAINFALL
16/2/2022,803,656287.3,1602146,Ang Thong,Pa Mok,Sandy Loam,10,-39,-3,36,-22.21,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.30
16/2/2022,805,657555.1,1603834,Ang Thong,Pa Mok,Sandy Loam,10,-32,-11,21,-23.15,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,7.30
16/2/2022,815,630696.3,1626218,Ang Thong,Pho Thong,Sandy Clay,2,-26,-18,8,-21.58,หมู่บ้าน,Village,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,811,632531.3,1623791,Ang Thong,Pho Thong,Sandy Clay Loam,6,-31,-12,19,-22.42,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,813,638489.6,1623574,Ang Thong,Pho Thong,Sandy Clay Loam,6,-40,-12,28,-23.21,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,812,639239.3,1624999,Ang Thong,Pho Thong,Sandy Clay Loam,6,-25,-16,9,-21.31,พืชสวน,Horticulture,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,809,645220.7,1622520,Ang Thong,Pho Thong,Sandy Clay Loam,6,-47,9,56,-24.71,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,810,650267.2,1625032,Ang Thong,Pho Thong,Sandy Clay Loam,6,-32,-11,21,-23.52,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,808,647619,1622528,Ang Thong,Pho Thong,Sandy Loam,10,-29,-7,22,-20.48,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,814,652121.2,1626408,Ang Thong,Pho Thong,Sandy Loam,10,-29,-9,20,-21.75,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,8.10
16/2/2022,828,633889.7,1607988,Ang Thong,Samko,Clay,1,-31,-16,15,-25.29,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,831,630056.7,1615588,Ang Thong,Samko,Sandy Clay,2,-30,-19,11,-24.05,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,829,628870.6,1615748,Ang Thong,Samko,Sandy Clay Loam,6,-28,-20,8,-24.28,สถานที่เพาะเลี้ยงสัตว์น้ำ,Aquacultural land,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,830,629201.6,1616556,Ang Thong,Samko,Sandy Clay Loam,6,-26,-18,8,-22.6,หมู่บ้าน,Village,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,835,632132.6,1618990,Ang Thong,Samko,Sandy Clay Loam,6,-25,-21,4,-22.84,ไม้ผล,Orchard,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,832,633966.5,1617552,Ang Thong,Samko,Sandy Clay Loam,6,-35,-13,22,-23.61,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,833,635604.5,1614471,Ang Thong,Samko,Sandy Clay Loam,6,-37,-16,21,-24.75,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,834,636077.9,1621471,Ang Thong,Samko,Sandy Loam,10,-25,-19,6,-22.89,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,18.30
16/2/2022,838,632220.9,1629499,Ang Thong,Saweangha,Sandy Clay Loam,6,-28,-12,16,-21.25,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,840,637268.6,1631146,Ang Thong,Saweangha,Sandy Clay Loam,6,-45,-7,38,-22.1,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,842,638030.1,1629732,Ang Thong,Saweangha,Sandy Clay Loam,6,-32,-12,20,-23.57,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,839,639194.5,1626353,Ang Thong,Saweangha,Sandy Clay Loam,6,-26,-14,12,-20.77,หมู่บ้าน,Village,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,837,643961,1631335,Ang Thong,Saweangha,Sandy Clay Loam,6,-32,-13,19,-23.35,ไม้ยืนต้น,Perennial crop,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,836,637845.2,1632342,Ang Thong,Saweangha,Sandy Loam,10,-28,-9,19,-19.54,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,841,644364.1,1633955,Ang Thong,Saweangha,Sandy Loam,10,-27,-12,15,-21.21,ไม้ผล,Orchard,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,20.40
16/2/2022,822,635051.9,1605310,Ang Thong,Wiset Chaicharn,Clay,1,-38,-9,29,-26.81,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,823,643024.6,1605629,Ang Thong,Wiset Chaicharn,Clay,1,-45,-16,29,-27.55,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,821,647083.6,1604393,Ang Thong,Wiset Chaicharn,Clay,1,-34,-20,14,-27.47,พืชสวน,Horticulture,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,825,629545.7,1609783,Ang Thong,Wiset Chaicharn,Sandy Clay Loam,6,-30,-19,11,-24.02,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,826,641437,1617288,Ang Thong,Wiset Chaicharn,Sandy Clay Loam,6,-32,-16,16,-24.89,หมู่บ้าน,Village,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,827,642325.6,1612018,Ang Thong,Wiset Chaicharn,Sandy Clay Loam,6,-55,-4,51,-26.06,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,824,646136.5,1611835,Ang Thong,Wiset Chaicharn,Sandy Loam,10,-32,-9,23,-23.11,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,28.80
16/2/2022,2107,506762.4603,506762.4602,Authaithani,Ban Rai,Water,0,242,315,73,285.457695,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2108,507975.4929,507975.4928,Authaithani,Ban Rai,Water,0,297,368,71,336.673826,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2110,508891.6168,508891.6167,Authaithani,Ban Rai,Water,0,288,415,127,367.290922,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,960,509509.7911,509509.7911,Authaithani,Ban Rai,Water,0,347,469,122,399.316464,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,919,517884.3472,517884.3472,Authaithani,Ban Rai,Water,0,136,401,265,200.571038,ป่าไม่ผลัดใบ,Evergreen forest,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2085,518584.087,518584.0869,Authaithani,Ban Rai,Water,0,137,387,250,261.729632,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2055,519025.6493,519025.6492,Authaithani,Ban Rai,Water,0,145,181,36,157.520401,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,900,519384.8616,519384.8616,Authaithani,Ban Rai,Water,0,146,161,15,153.030817,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2056,520273.4645,520273.4644,Authaithani,Ban Rai,Water,0,133,173,40,159.110127,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,947,544448.4869,544448.4869,Authaithani,Ban Rai,Water,0,226,262,36,249.562654,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,894,545675.1449,545675.1449,Authaithani,Ban Rai,Water,0,162,189,27,176.320725,ไม้ยืนต้น,Perennial crop,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,896,545735.5024,545735.5024,Authaithani,Ban Rai,Water,0,156,195,39,174.31707,ไม้ยืนต้น,Perennial crop,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2121,545850.1227,545850.1226,Authaithani,Ban Rai,Water,0,177,315,138,229.929118,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2122,545903.0949,545903.0948,Authaithani,Ban Rai,Water,0,185,213,28,199.487738,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2115,546601.6528,546601.6527,Authaithani,Ban Rai,Water,0,172,229,57,200.071672,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2052,546767.6536,546767.6535,Authaithani,Ban Rai,Water,0,159,165,6,161.116505,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2010,547521.7157,547521.7156,Authaithani,Ban Rai,Water,0,139,184,45,157.805279,พื้นที่ลุ่ม,Marsh and Swamp,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,895,547557.0874,547557.0874,Authaithani,Ban Rai,Water,0,154,176,22,162.916707,ไม้ยืนต้น,Perennial crop,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2119,547728.6141,547728.614,Authaithani,Ban Rai,Water,0,159,309,150,212.663588,ไม้ยืนต้น,Perennial crop,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,872,547859.8558,547859.8558,Authaithani,Ban Rai,Water,0,160,202,42,174.640671,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2084,548022.989,548022.9889,Authaithani,Ban Rai,Water,0,227,257,30,242.632911,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2114,548972.3129,548972.3128,Authaithani,Ban Rai,Water,0,199,221,22,210.975728,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,871,549094.5785,549094.5785,Authaithani,Ban Rai,Water,0,160,195,35,173.56932,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2030,549439.5573,549439.5572,Authaithani,Ban Rai,Water,0,156,183,27,165.558511,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2102,549446.1213,549446.1212,Authaithani,Ban Rai,Water,0,172,215,43,198.487179,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2118,549562.8615,549562.8614,Authaithani,Ban Rai,Water,0,155,254,99,196.512675,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2096,549660.6638,549660.6637,Authaithani,Ban Rai,Water,0,178,211,33,196.901079,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2087,549732.4177,549732.4176,Authaithani,Ban Rai,Water,0,193,360,167,249.625294,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2072,549806.6678,549806.6677,Authaithani,Ban Rai,Water,0,162,215,53,177.614453,ไม้ผล,Orchard,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,943,549875.9187,549875.9187,Authaithani,Ban Rai,Water,0,170,206,36,188.53719,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,926,550006.1499,550006.1499,Authaithani,Ban Rai,Water,0,160,170,10,163.403704,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,893,550136.7409,550136.7409,Authaithani,Ban Rai,Water,0,157,193,36,174.24621,พื้นที่ลุ่ม,Marsh and Swamp,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2094,550335.9923,550335.9922,Authaithani,Ban Rai,Water,0,181,336,155,238.449004,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2054,550468.0774,550468.0773,Authaithani,Ban Rai,Water,0,137,208,71,171.473667,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,949,550551.7112,550551.7112,Authaithani,Ban Rai,Water,0,159,237,78,188.975837,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
16/2/2022,2070,550592.064,550592.0639,Authaithani,Ban Rai,Water,0,158,167,9,162.022305,พื้นที่นา,Paddy field,7030.00,4146.00,681.88,653.90,23.94,7.04,4.32,5.20,970.35,325.54,195.24,215.19,27.10
