PROVINCE,AMPHOE,TEXTURE,SOIL,1/9/2012,2/9/2012,3/9/2012,4/9/2012,5/9/2012,6/9/2012,7/9/2012,SUM,FLOOD
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนปนทรายแป้ง,11,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,น้ำ,0,0,0,0,0,0,0,0,0,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนเหนียวปนทรายแป้ง,10,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนปนทรายแป้ง,11,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,น้ำ,0,0,0.5,0,4.5,4,21.5,2,32.5,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนปนทรายแป้ง,11,0,0,0,2,1,9,7,19,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,2,1,9,7,19,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,0,0,0,2,1,9,7,19,2
