DATE,FID,
15/02/2022,1375,
15/02/2022,1354,
15/02/2022,1356,
15/02/2022,1355,
15/02/2022,1379,
15/02/2022,2465,
15/02/2022,2456,
15/02/2022,2471,
15/02/2022,2476,
15/02/2022,1269,
15/02/2022,2464,
15/02/2022,2462,
15/02/2022,1377,
15/02/2022,1352,
15/02/2022,1358,
15/02/2022,2385,
15/02/2022,1370,
15/02/2022,1359,
15/02/2022,2451,
15/02/2022,1380,
15/02/2022,2452,
15/02/2022,2469,
15/02/2022,1382,
15/02/2022,1365,
15/02/2022,1368,
15/02/2022,2472,
15/02/2022,2454,
15/02/2022,2486,
15/02/2022,1353,
15/02/2022,2487,
15/02/2022,2467,
15/02/2022,1385,
15/02/2022,1387,
15/02/2022,1394,
15/02/2022,1408,
15/02/2022,1383,
15/02/2022,2491,
15/02/2022,1386,
15/02/2022,2499,
15/02/2022,1396,
15/02/2022,2488,
15/02/2022,2484,
15/02/2022,1406,
15/02/2022,2466,
15/02/2022,1389,
15/02/2022,1395,
15/02/2022,1405,
15/02/2022,2500,
15/02/2022,1404,
15/02/2022,2494,
15/02/2022,1397,
15/02/2022,1402,
15/02/2022,1401,
15/02/2022,1376,
15/02/2022,1399,
15/02/2022,1390,
15/02/2022,2490,
15/02/2022,1388,
15/02/2022,1407,
15/02/2022,2483,
15/02/2022,1392,
15/02/2022,2485,
15/02/2022,1393,
15/02/2022,2493,
15/02/2022,2489,
15/02/2022,1400,
15/02/2022,1391,
15/02/2022,2497,
15/02/2022,1384,
15/02/2022,1410,
15/02/2022,2495,
15/02/2022,2492,
15/02/2022,2498,
15/02/2022,1398,
15/02/2022,1403,
15/02/2022,2496,
15/02/2022,2505,
15/02/2022,2521,
15/02/2022,2519,
15/02/2022,1423,
15/02/2022,2503,
15/02/2022,1432,
15/02/2022,2504,
15/02/2022,2522,
15/02/2022,2523,
15/02/2022,2508,
15/02/2022,2510,
15/02/2022,1434,
15/02/2022,2524,
15/02/2022,1424,
15/02/2022,2526,
15/02/2022,2525,
15/02/2022,1409,
15/02/2022,1418,
15/02/2022,2509,
15/02/2022,1425,
15/02/2022,1420,
15/02/2022,1422,
15/02/2022,1436,
15/02/2022,2513,
15/02/2022,1438,
15/02/2022,2506,
15/02/2022,1437,
15/02/2022,2511,
15/02/2022,2517,
15/02/2022,1430,
15/02/2022,1435,
15/02/2022,2515,
15/02/2022,2518,
15/02/2022,2514,
15/02/2022,1433,
15/02/2022,1421,
15/02/2022,2507,
15/02/2022,1429,
15/02/2022,2516,
15/02/2022,2512,
15/02/2022,1416,
15/02/2022,1419,
15/02/2022,1427,
15/02/2022,1428,
15/02/2022,1439,
15/02/2022,1417,
15/02/2022,2527,
15/02/2022,2528,
15/02/2022,2530,
15/02/2022,1445,
15/02/2022,1443,
15/02/2022,2502,
15/02/2022,2501,
15/02/2022,2529,
15/02/2022,1444,
15/02/2022,1415,
15/02/2022,1441,
15/02/2022,1426,
15/02/2022,1411,
15/02/2022,1413,
15/02/2022,1431,
15/02/2022,1412,
15/02/2022,1414,
15/02/2022,1442,
15/02/2022,2520,
15/02/2022,1440,
15/02/2022,1257,
15/02/2022,2377,
15/02/2022,1475,
15/02/2022,1476,
15/02/2022,1474,
15/02/2022,2553,
15/02/2022,2552,
15/02/2022,1471,
15/02/2022,1472,
15/02/2022,1473,
15/02/2022,1470,
15/02/2022,1477,
15/02/2022,1479,
15/02/2022,2554,
15/02/2022,2555,
15/02/2022,1478,
15/02/2022,1480,
15/02/2022,2556,
15/02/2022,2551,
15/02/2022,1469,
15/02/2022,1448,
15/02/2022,1447,
15/02/2022,2532,
15/02/2022,2534,
15/02/2022,1449,
15/02/2022,1450,
15/02/2022,2533,
15/02/2022,2531,
15/02/2022,2535,
15/02/2022,2541,
15/02/2022,1446,
15/02/2022,1455,
15/02/2022,2546,
15/02/2022,2547,
15/02/2022,2550,
15/02/2022,1486,
15/02/2022,2562,
15/02/2022,1488,
15/02/2022,1489,
15/02/2022,2564,
15/02/2022,1484,
15/02/2022,1487,
