SOIL,TEXTURE,PH,AMPHOE,PROVINCE,RAINFALL,FLOOD,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียวปนทรายแป้ง,กรดจัดมาก,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
2,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
33,ดินร่วนปนทรายแป้ง,กรดจัดมากถึงเป็นกลาง,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
10,ดินเหนียว,กรดจัดมาก,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียว,กรดจัดมาก,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียวปนทรายแป้ง,กรดจัดมาก,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
0,น้ำ,น้ำ,Amphoe Bang Pa-in,Phra Nakhon Si Ayudhya,179.7,0,,
33,ดินร่วนปนทรายแป้ง,กรดจัดมากถึงเป็นกลาง,Amphoe Ban Phreak,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Ban Phreak,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Ban Phreak,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียว,กรดจัดมาก,Amphoe Phak Hai,Phra Nakhon Si Ayudhya,179.7,0,,
2,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Phak Hai,Phra Nakhon Si Ayudhya,179.7,0,,
33,ดินร่วนปนทรายแป้ง,กรดจัดมากถึงเป็นกลาง,Amphoe Phak Hai,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Phak Hai,Phra Nakhon Si Ayudhya,179.7,0,,
0,น้ำ,น้ำ,Amphoe Phak Hai,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Phra Nakhon Si Ayudhya,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียวปนทรายแป้ง,กรดจัดมาก,Amphoe Phra Nakhon Si Ayudhya,Phra Nakhon Si Ayudhya,179.7,0,,
2,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Phra Nakhon Si Ayudhya,Phra Nakhon Si Ayudhya,179.7,0,,
33,ดินร่วนปนทรายแป้ง,กรดจัดมากถึงเป็นกลาง,Amphoe Phra Nakhon Si Ayudhya,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียวปนทรายแป้ง,กรดจัดมาก,Amphoe Phra Nakhon Si Ayudhya,Phra Nakhon Si Ayudhya,179.7,0,,
0,น้ำ,น้ำ,Amphoe Phra Nakhon Si Ayudhya,Phra Nakhon Si Ayudhya,179.7,0,,
3,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Phachi,Phra Nakhon Si Ayudhya,179.7,0,,
2,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Phachi,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Phachi,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินเหนียวปนทรายแป้ง,กรดจัดมากถึงกรดเล็กน้อย,Amphoe Phachi,Phra Nakhon Si Ayudhya,179.7,0,,
2,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Maharat,Phra Nakhon Si Ayudhya,179.7,0,,
3,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Maharat,Phra Nakhon Si Ayudhya,179.7,0,,
33,ดินร่วนปนทรายแป้ง,กรดจัดมากถึงเป็นกลาง,Amphoe Maharat,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Maharat,Phra Nakhon Si Ayudhya,179.7,0,,
4,ดินร่วนเหนียวปนทรายแป้ง,กรดจัดถึงกรดเล็กน้อย,Amphoe Maharat,Phra Nakhon Si Ayudhya,179.7,0,,
0,น้ำ,น้ำ,Amphoe Maharat,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียวปนทรายแป้ง,กรดจัดมาก,Amphoe Lat Bua Luang,Phra Nakhon Si Ayudhya,179.7,0,,
11,ดินเหนียว,กรดจัดมาก,Amphoe Lat Bua Luang,Phra Nakhon Si Ayudhya,179.7,0,,
2,ดินเหนียว,กรดจัดมากึงกรดจัด,Amphoe Lat Bua Luang,Phra Nakhon Si Ayudhya,179.7,0,,
