DATE,PROVINCE,DISTRICT,TEXTURE,SOIL,BHUMIBOL,SIRIKIT,KHWAENOI,PASAK,RAINFALL,FLOOD
21/9/2012,Ang Thong,Pho Thong,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Pho Thong,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Pho Thong,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,7.00,0
21/9/2012,Ang Thong,Samko,ดินเหนียว,1,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินเหนียวปนทราย,2,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Samko,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,5.50,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Saweangha,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,4.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินเหนียว,1,7682.00,6163.00,595.00,452.00,5.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินเหนียว,1,7682.00,6163.00,595.00,452.00,5.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินเหนียว,1,7682.00,6163.00,595.00,452.00,5.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินร่วนเหนียวปนทราย,6,7682.00,6163.00,595.00,452.00,5.00,0
21/9/2012,Ang Thong,Wiset Chaicharn,ดินร่วนปนทราย,10,7682.00,6163.00,595.00,452.00,5.00,0
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
20/9/2012,Authaithani,Ban Rai,น้ำ,0,7646.00,6128.00,590.00,442.00,14.50,1
